;Probenahmedatum;Probenahmestelle;Geo Point;latitude;longitude;Alkalinität(pH=4.5);Calcium(gesamt);Chlorid;Kalium(gesamt);Magnesium(gesamt);Natrium(gesamt);Sulfat;ca_meqpl;na_meqpl;k_meqpl;mg_meqpl;alk_meqpl;cl_meqpl;so4_meqpl;na_k_meqpl;sum_cations;ca_pct;na_pct;mg_pct;sum_anions;alk_pct;cl_pct;so4_pct;ion_balance_pct
0;1993-07-19;F_1026;47.5923174299,7.65581359461;47.5923174299;7.65581359461;;114.0;61.0;3.8;21.8;30.4;127.0;5.68904858148065;2.644628099173554;0.09719092645971819;1.7938695741616952;;1.7205878204947394;2.6440981439263815;2.741819025633272;10.224737181275616;55.640047080123544;25.86499831033912;17.54440766894994;;;;;
1;1993-07-19;F_1057;47.5705506239,7.63461302466;47.5705506239;7.63461302466;;111.0;34.4;4.7;16.6;17.5;79.2;5.539336776704843;1.5224010439321445;0.12020983009491461;1.3659740794075295;;0.9702987053281809;1.6489178976296806;1.642610874027059;8.547921730139432;64.80331654387396;17.810189330164953;15.98018936686319;;;;;
2;1993-07-19;F_1064;47.5693291207,7.61431140138;47.5693291207;7.61431140138;;76.4;14.3;2.4;9.0;9.2;34.6;3.812660628290541;0.8003479773814702;0.061383743027190435;0.740588356305287;;0.4033509152963078;0.7203605966917543;0.8617317204086606;5.414980705004489;70.40949609971658;14.7802553874623;13.676657344703742;;;;;
3;1993-07-19;F_1068;47.5839472487,7.65107140262;47.5839472487;7.65107140262;;133.0;27.0;1.5;23.2;12.8;80.5;6.637223345060758;1.1135276207046543;0.038364839391994025;1.9090722073647397;;0.7615716582517699;1.6759834691816828;1.1518924600966483;9.698188012522145;68.43776730757212;11.481811027656768;19.68483395970233;;;;;
4;1993-07-19;F_1081;47.5799208181,7.64362878551;47.5799208181;7.64362878551;;121.0;36.9;6.6;19.2;19.2;80.8;6.038376125957532;1.6702914310569814;0.1688052933247737;1.5799218267846122;;1.040814599610752;1.6822293703090678;1.839096724381755;9.457394677123899;63.84819849554878;17.661221595173355;16.705677205226717;;;;;
5;1993-07-19;F_1203;47.5733286874,7.64029975177;47.5733286874;7.64029975177;;114.0;30.7;7.2;18.8;18.2;71.1;5.68904858148065;1.5832970856894302;0.1841512290815713;1.5470067887265995;;0.8659351817899754;1.4802785671902812;1.7674483147710014;9.00350368497825;63.18705229134799;17.585343895966375;17.182275288093432;;;;;
6;1993-07-19;F_1291;47.5706209488,7.60745613542;47.5706209488;7.60745613542;;53.5;10.5;1.8;5.8;8.9;22.0;2.669860518501884;0.7742496737712049;0.046037807270392826;0.4772680518411849;;0.2961667559867994;0.4580327493415779;0.8202874810415978;3.9674160513846664;67.29469468093917;19.515212514729438;12.02969503726774;;;;;
7;1993-10-11;F_0795;47.5895568999,7.65168895562;47.5895568999;7.65168895562;;98.8;52.7;3.2;19.8;31.6;117.0;4.930508770616563;2.7490213136146155;0.08184499070292059;1.6292943838716314;;1.4864750514766027;2.43590143968021;2.830866304317536;9.39066945880573;52.50433733447164;29.273965244691148;17.35014091400933;;;;;
8;1993-10-11;F_1026;47.5923174299,7.65581359461;47.5923174299;7.65581359461;;119.0;57.8;3.6;22.2;31.6;129.0;5.938568256106994;2.7490213136146155;0.09207561454078565;1.8267846122197078;;1.6303274758130482;2.685737484775616;2.8410969281554013;10.606449796482103;55.990160421790435;25.91839273614813;17.223337188901862;;;;;
9;1993-10-11;F_1057;47.5705506239,7.63461302466;47.5705506239;7.63461302466;;110.0;31.5;6.2;17.0;26.0;73.4;5.489432841779575;2.261852979556329;0.15857466948690863;1.398889117465542;;0.8885002679603982;1.528163809166901;2.420427649043238;9.308749608288355;58.97067890720656;24.298139650704677;15.027680153948866;;;;;
10;1993-10-11;F_1064;47.5693291207,7.61431140138;47.5693291207;7.61431140138;;75.6;11.8;2.0;8.2;9.8;31.9;3.7727374803503255;0.852544584602001;0.051153119189325365;0.6747582801892614;;0.33283502101373647;0.664147486545288;0.9036977037913264;5.351193464330914;70.50273000776379;15.93185875795277;12.609491409476256;;;;;
11;1993-10-11;F_1068;47.5839472487,7.65107140262;47.5839472487;7.65107140262;;132.0;24.2;1.1;22.2;11.4;77.3;6.587319410135489;0.9917355371900828;0.02813421555412895;1.8267846122197078;;0.68259385665529;1.6093605238229078;1.0198697527442118;9.433973775099409;69.82550054911592;10.51238386741893;19.363893262470494;;;;;
12;1993-10-11;F_1081;47.5799208181,7.64362878551;47.5799208181;7.64362878551;;120.0;36.1;6.8;18.4;19.6;78.8;5.988472191032264;1.705089169204002;0.17392060524370623;1.5140917506685867;;1.0182495134403293;1.6405900294598335;1.8790097744477081;9.381573716148559;63.83227774167857;18.174873649066168;16.13899540183084;;;;;
13;1993-10-11;F_1203;47.5733286874,7.64029975177;47.5733286874;7.64029975177;;124.0;31.0;8.0;19.4;16.8;70.8;6.188087930733339;1.4615050021748588;0.20461247675730146;1.5963793458136184;;0.8743970891038839;1.4740326660628962;1.6661174789321602;9.450584755479117;65.4783602373991;15.464704459980952;16.891857880943228;;;;;
14;1993-10-11;F_1291;47.5706209488,7.60745613542;47.5706209488;7.60745613542;;53.4;7.9;1.5;5.0;8.0;19.7;2.664870125009357;0.6959547629404089;0.038364839391994025;0.41143797572515944;;0.22283022593292529;0.41014750736495836;0.7343196023324029;3.8106277030669196;69.93257627515229;18.26352026938453;10.797118159667514;;;;;
