STATION_ID,LAT_DEG,LONG_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE
S98_03613,23.365,90.11,1988.0,STW,21.0,Dhaka,Madaripur,Shibchar,Dattapara,Char Dattapara,3548736242
S98_03614,23.073,90.433,1990.0,DTW,320.0,Dhaka,Shariatpur,Gosairhat,Idilpur,Dhipur,3863635460
S98_03615,23.084,90.407,1989.0,STW,22.0,Dhaka,Shariatpur,Gosairhat,Samantasar,Tarulia,3863683953
S98_03616,23.08,90.406,1991.0,DTW,285.0,Dhaka,Shariatpur,Gosairhat,Samantasar,Tarulia,3863683953
S98_03617,23.076,90.384,1985.0,STW,30.0,Dhaka,Shariatpur,Gosairhat,Nagerpara,Nagarpara,3863659743
S98_03618,23.038,90.438,1985.0,STW,24.0,Dhaka,Shariatpur,Gosairhat,Nulmuri,Char Bhuai,3863671157
S98_03619,23.087,90.462,1976.0,STW,29.0,Dhaka,Shariatpur,Gosairhat,Gosairhat,Batna,3863623146
S98_03620,23.099,90.483,1991.0,STW,30.0,Dhaka,Shariatpur,Gosairhat,Kodalpur,Uttar Kodalpur,3863647994
S98_03621,22.246,90.411,1997.0,DTW,283.0,Barisal,Patuakhali,Galachipa,Chiknikandi,Ichadichar,1785750567
S98_03622,22.24,90.399,1981.0,DTW,302.0,Barisal,Patuakhali,Galachipa,Amkhola,Bhangra,1785711162
S98_03623,22.248,90.4,1989.0,DTW,293.0,Barisal,Patuakhali,Galachipa,Amkhola,Dari Baherchar,1785711465
S98_03624,22.142,90.066,1992.0,DTW,304.0,Barisal,Barguna,Barguna Sadar,Dhalua,Dalbhanga,1042847319
S98_03625,22.147,90.111,1992.0,DTW,311.0,Barisal,Barguna,Barguna Sadar,Barguna,Korak,1042828600
S98_03626,22.091,90.084,1996.0,DTW,313.0,Barisal,Barguna,Barguna Sadar,M.baliatali,Nimtaki,1042885732
S98_03627,22.042,90.042,1991.0,DTW,315.0,Barisal,Barguna,Barguna Sadar,Naltona,Garjanbaria,1042895375
S98_03628,22.156,90.13,1978.0,DTW,315.0,Barisal,Barguna,Barguna Sadar,Paurashava w01,Karaitala,1042873773
S98_03629,22.296,90.06,1997.0,DTW,286.0,Barisal,Barguna,Bamna,Bukabunia,Bukabunia,1041947255
S98_03630,22.288,90.045,1993.0,STW,16.0,Barisal,Barguna,Bamna,Bukabunia,Joynagar,1041947588
S98_03631,22.26,90.029,1966.0,DTW,306.0,Barisal,Barguna,Bamna,Dawatala,Dawatala,1041971408
S98_03632,22.25,90.076,1976.0,DTW,296.0,Barisal,Barguna,Bamna,Ramna,Ramna,1041995892
S98_03633,22.264,90.079,1987.0,DTW,301.0,Barisal,Barguna,Bamna,Ramna,Kholpatua,1041995714
S98_03634,22.486,90.063,1995.0,DTW,296.0,Barisal,Pirojpur,Bhandaria,Nudmulla,Dakahin Sialkati,1791479268
S98_03635,22.471,90.055,1997.0,STW,16.0,Barisal,Pirojpur,Bhandaria,Dhaoa,Dhaoa,1791435295
S98_03636,22.471,90.036,1997.0,DTW,280.0,Barisal,Pirojpur,Bhandaria,Dhaoa,Dhaoa,1791435295
S98_03637,22.489,90.022,1975.0,STW,17.0,Barisal,Pirojpur,Bhandaria,Nudmulla,Nudmulla,1791471645
S98_03638,22.533,89.992,1994.0,STW,22.0,Barisal,Pirojpur,Indurkani,Shankarpasha,Shankarpasha,1793869861
S98_03639,22.55,89.983,1995.0,STW,33.0,Barisal,Pirojpur,Indurkani,Shankarpasha,Namajpur,1793869710
S98_03640,22.582,89.999,1981.0,STW,14.0,Barisal,Pirojpur,Pirojpur Sadar,Sariktala,Dumaritala,1798077444
S98_03641,22.58,89.966,1983.0,STW,19.0,Barisal,Pirojpur,Pirojpur Sadar,Paurashava W02,Kumuria,1798053663
S98_03642,22.683,89.963,1980.0,STW,19.0,Barisal,Pirojpur,Pirojpur Sadar,Sikder Mallik,Sikder Mallik,1798086906
S98_03643,22.618,89.96,1995.0,STW,17.0,Barisal,Pirojpur,Pirojpur Sadar,Kadamtala,Kadamtala,1798025533
S98_03644,22.606,89.993,1973.0,STW,17.0,Barisal,Pirojpur,Pirojpur Sadar,Tona,Mulgram,1798094684
S98_03645,22.653,90.0,1990.0,DTW,275.0,Barisal,Pirojpur,Pirojpur Sadar,Durgapur,Durgapur,1798017453
S98_03646,22.622,89.99,1986.0,STW,20.0,Barisal,Pirojpur,Pirojpur Sadar,Tona,Tejdaskati,1798094932
S98_03647,22.518,90.11,1994.0,DTW,351.0,Barisal,Jhalakati,Rajapur,Galua,Galua Gurgapur,1428427386
S98_03648,22.556,90.137,1995.0,STW,16.0,Barisal,Jhalakati,Rajapur,Rajapur,C Kaibarttakhali,1428454331
S98_03649,22.559,90.188,1996.0,DTW,295.0,Barisal,Jhalakati,Rajapur,Mathbari,Pukharijana,1428440773
S98_03650,22.555,90.086,1996.0,STW,13.0,Barisal,Jhalakati,Rajapur,Saturia,Uttar Tarabaria,1428467994
S98_03651,22.579,90.095,1997.0,DTW,322.0,Barisal,Jhalakati,Rajapur,Saturia,Naikati,1428467621
S98_03652,22.578,90.114,1998.0,DTW,282.0,Barisal,Jhalakati,Rajapur,Suktagarh,Narikelbaria,1428481649
S98_03653,22.68,90.285,1970.0,STW,15.0,Barisal,Jhalakati,Nalchity,Magar,Amirabad,1427342020
S98_03654,22.707,89.977,1991.0,DTW,257.0,Barisal,Pirojpur,Nazirpur,Nazirpur,Bara Baichikati,1797652089
S98_03655,22.815,89.947,1996.0,STW,17.0,Barisal,Pirojpur,Nazirpur,Matibanga,Matibanga,1797642668
S98_03656,22.803,89.953,1996.0,DTW,270.0,Barisal,Pirojpur,Nazirpur,Shankharikati,Baghajora,1797673029
S98_03657,22.791,89.956,1996.0,STW,18.0,Barisal,Pirojpur,Nazirpur,Shankharikati,Baghajora,1797673029
S98_03658,22.698,89.998,1998.0,DTW,260.0,Barisal,Pirojpur,Nazirpur,Sriramkati,Bhimkati,1797684133
S98_03659,22.698,89.998,1992.0,STW,21.0,Barisal,Pirojpur,Nazirpur,Srirampur,Bhimkati,1797684133
S98_03660,22.713,89.953,1994.0,STW,19.0,Barisal,Pirojpur,Nazirpur,Sekhmatia,Pas.C.Baichakati,1797663757
S98_03661,22.64,90.181,1996.0,STW,17.0,Barisal,Jhalakati,Jhalakati Sadar,Gabkhan Dhansiri,Gabkhan,1424028357
S98_03662,22.647,90.196,1996.0,DTW,327.0,Barisal,Jhalakati,Jhalakati Sadar,Paurashava,Palbari,1424051
S98_03663,22.727,90.212,1998.0,DTW,311.0,Barisal,Jhalakati,Jhalakati Sadar,Nabagram,Nabagram,1424076637
S98_03664,22.723,90.233,1991.0,DTW,323.0,Barisal,Jhalakati,Jhalakati Sadar,Binoykati,Khandergati,1424019516
S98_03665,22.724,90.234,1993.0,STW,15.0,Barisal,Jhalakati,Jhalakati Sadar,Binoykati,Kandargati,1424019516
S98_03666,22.688,90.203,1992.0,DTW,317.0,Barisal,Jhalakati,Jhalakati Sadar,Basanda,Chamta,1424009197
S98_03667,22.688,90.204,1997.0,STW,16.0,Barisal,Jhalakati,Jhalakati Sadar,Basanda,Darkhi,1424009293
S98_03668,22.681,90.175,1996.0,DTW,332.0,Barisal,Jhalakati,Jhalakati Sadar,Kirtipasha,Tarpasa,1424066950
S98_03669,22.68,90.175,1991.0,STW,20.0,Barisal,Jhalakati,Jhalakati Sadar,Kirtipasha,Tarpasa,1424066950
S98_03670,22.398,90.126,1985.0,DTW,258.0,Barisal,Jhalakati,Kathalia,Kathalia,Kathalia,1424363529
S98_03671,22.444,90.116,1993.0,DTW,346.0,Barisal,Jhalakati,Kathalia,Sauljalia,Kaikhali,1424394465
