Probenahmestelle;latitude;longitude
F_1045;47.55403333657704;7.610316753552325
F_1044;47.56756030541203;7.592923440793316
F_1057;47.5705506239398;7.634613024655483
F_1196;47.58194895867985;7.586797114601894
F_1197;47.581499480199554;7.586636360384018
F_1111;47.53892060689241;7.602674539644802
F_1081;47.579920818101;7.643628785509294
F_1315;47.57192127746983;7.593653695648766
F_1097;47.53569707166501;7.605695311588096
F_0801;47.57989425786064;7.648440336745981
F_1423;47.561894413748576;7.592813925096989
F_1294;47.562336426922066;7.611178981609854
F_1435;47.56228623840584;7.574239101828186
F_1032;47.58172502593966;7.593097175077615
F_0432;47.59577855303679;7.650238000585896
F_1026;47.59231742991825;7.655813594609769
F_2614;47.58212342670827;7.597857006879844
F_2616;47.58202475095419;7.597670619217722
F_0780;47.577240871444715;7.589668766595034
F_1293;47.5525395207859;7.593876287545913
F_0827;47.569888124312186;7.630633087748863
F_2441;47.58187699270678;7.589961952779306
F_0802;47.57388917462082;7.644766367945132
F_1016;47.57649531757983;7.566885380122235
F_1479;47.58054475533211;7.59467550796838
F_1520;47.581987724901495;7.597979556383308
F_1095;47.555509570332326;7.570302619744832
F_0734;47.57588308427312;7.582275887248175
F_4448;47.5806784404989;7.596980738041959
F_1065;47.54735030378275;7.571929571389921
F_1064;47.56932912069181;7.614311401376751
F_1316;47.56430047890536;7.581977787553817
F_1037;47.573681333282295;7.575553191827378
F_2711;47.56756283280788;7.631918775429772
F_2710;47.56945945342663;7.6301058219490585
F_2709;47.57037009000922;7.637862832517619
F_1224;47.57007683678858;7.635039334600453
F_1225;47.56877266970151;7.6352997803468
F_1061;47.5677773895454;7.561615390863874
F_1090;47.56842397838639;7.592713313215059
F_1119;47.541516541013614;7.62181597569145
F_1132;47.540249627985055;7.597081490184068
F_1068;47.58394724865588;7.65107140262389
F_1067;47.584644344085966;7.592022374647713
F_0832;47.578311958094616;7.5896448151170794
F_1009;47.572737088079435;7.573933374053391
F_1161;47.56104044045981;7.59518985340109
F_1015;47.5719856065232;7.570449530016442
F_1035;47.58354961748343;7.5939398989955915
F_1033;47.58258744236233;7.593830759141446
F_0568;47.58308233875187;7.593646101241682
F_1203;47.57332868744461;7.640299751766509
F_0706;47.565637919539455;7.574551509486703
F_1084;47.559073241914064;7.603599436347044
F_0795;47.589556899851736;7.651688955620735
F_0799;47.58920454361265;7.655335075337354
F_1305;47.558691231643216;7.564145510459668
F_1160;47.544730866916204;7.595354707668329
F_1392;47.5495955555035;7.582190741075459
F_1388;47.55643204892739;7.573692810778389
F_1019;47.55185442966899;7.581014461562069
F_0702;47.57689715178272;7.591860425013848
F_0785;47.5522683728766;7.58801671656008
F_0784;47.55165754783291;7.587430478681743
F_0804;47.58333004291116;7.652332814044579
F_1871;47.57131587210443;7.580990452538251
F_1877;47.58244201221551;7.590140211515276
F_0589;47.55215945816402;7.588786935740764
F_0741;47.571721309267495;7.558142538587337
F_1291;47.570620948761324;7.607456135415016
F_0820;47.57752495332121;7.586107118031123
F_2477;47.570212418572645;7.590002251370437
F_1041;47.56596204075614;7.581851887549611
F_1088;47.54807953092221;7.599761496759976
F_1394;47.566184823528;7.623722932524062
F_1393;47.56626462362306;7.624440785027741
F_1217;47.56379611422933;7.60309115834303
F_1400;47.57024452544978;7.5897947616307135
F_1907;47.581245106997976;7.591746763127437
F_1768;47.58827363734845;7.593586334872455
F_1098;47.534634532050305;7.605577774998236
F_1116;47.56989134909864;7.579445226806465
F_2713;47.56555516147729;7.6237871888049735
F_1443;47.57147518502811;7.572608117026666
F_1444;47.571094321241546;7.572435061475415
F_1724;47.57197774012571;7.578143005103636
F_1721;47.570234768143095;7.577385475310233
F_1726;47.57448318987513;7.574183403621109
F_1723;47.570472588425545;7.575458853410958
F_1465;47.57173043042005;7.57539469532465
F_1463;47.571465240575534;7.574441807930338
F_1003;47.580995004936604;7.594251476595309
F_1243;47.55008858339086;7.583507218512098
F_1355;47.58041596030709;7.596881598672384
F_1017;47.56948205360153;7.580995000768784
F_1710;47.574645715067696;7.594140066192635
F_1708;47.57467331575926;7.593674845074632
F_0718;47.58072963551996;7.597031399729839
F_1865;47.58861480649763;7.59240056782209
F_1091;47.56969249075843;7.639961604715298
F_1339;47.54979414103417;7.595581982401207
F_1092;47.58857750253276;7.59360862050094
F_1008;47.58012856096968;7.596588324708147
F_2688;47.566347974076734;7.622926191249976
F_2689;47.565978623368;7.623310277664583
